Major,Residency ,Num_Credits,Dominant_hand,Hand_Span,GripStrength_DomHand,GripStrength_NonDomHand
Conservation Biology and Ecology,In state ,19,right,23,116.8,98.8
Dietetics ,Out of state,18,right,14,36.4,38.8
Financial Engineering and Economics ,Out of state,17,right,20 cm,77,83.5
Pre-Nursing ,In-state ,16,right,19,32,26.2
Kinesiology ,Out of state ,14,right,19,52.4,49.6
Interior design ,Out of state,19,left,6.25”,29.6,17.6
Environmental Science ,Out of state,15,left,9 inches ,79,67.2
Animal Science ,Out of state ,15,right,19cm,44.6,39
Business finance ,Out of state,13,right,21.5,78,57.6
Accounting ,In-state,12,left,19,28.5,25.2
Finance ,Out of state ,15,right,20 cm,43.2lbs,41.8lbs
Business Management,Out of State,15,right,"8 1/2""",103.6,105
Pre-Nursing ,In state,15,left,19 cm,29.2 lbs,22.8
Psychology and criminology ,Out of state ,18,right,16.5,62,57.2
business management ,out of state,16,right,6,90,85
Business ,In state,16,left,24,110,95
Cell Biology,In-state,18,right,22,65,70
Nursing ,out of state ,15,right,5.5,28,25
Anthropology ,Out-of-state,15,right,15cm,40.6lbs,39.4 lbs
Environmental studies ,In state ,16,right,21 cm,95,90
Business Finance ,Out of State,15,right,24,109.7,99.6
Construction engineering techbology,Out of state ,16,left,24cm,115lbs,90lbs
I’m trying to declare environmental studies rn,Out of state,15,right,19.5cm,100lbs,80lbs
finance,out-of-state,17,left,21,89.8,109.2
nursing,in-state,15,right,18,idk,idk
Cell Biology & Neuroscience ,In-state ,15,right,17.5 cm,33.5,31.2
Business finance,In state,15,right,30,40lbs,20lbs
Business Management,In-State,17,left,8 1/4,Idk,Idk
Business management ,In state,18,right,19 cm,27,20
Earth Sciences: paleontology ,Out of state,21,right,24cm,88.2 lb,83.8 lb
Criminology,Out of state,15,left,20 1/2,35,36.4
nursing,in-state,15,right,18,39.6,24.4
Buissness major,In state ,13,left,21cm,71.4,NA
finance ,out,16,right,22,81,61
Business Management,Out of state,18,right,20 cm,84 lb,62.8 lb
Finance,In state,16,right,26,122,103
Cell Biology Neuroscience,Out of State,19,right,19,32.4,27.6
Undecided ,Out of state ,15,right,21 cm,100.6,94.6
Biomedical Engineering,Out-of-state,21,right,23,79,69.4
Exercise Science,Out of state,14,right,22 cm,69.6,59.4
Sustainable Food Systems and Bioenergy,In state,18,right,21.1,74.3,58.9
Engineering,In-state,14,right,22 cm,90,88
Finance ,In-state,15,right,21 cm,75 lbs,58 lbs
Finance and accounting ,In state ,15,left,16cm,117,107
Organismal Biology,Out of state ,16,right,9,62,55
Equine_Science,Out_state,19_credits,right,21.2,43.6,54.2
Criminology,Out of state,20,right,21cm,118,99.8
Business accounting ,In state ,16,left,23 cm,50 lbs ,39 lbs 
microbiology,in-state,16,right,15,47,39
Computer Science,In state,16,right,22cm,61,53
Political science,Out of state,15,right,18,48,38
 Business Finance,Out-of-state,19,right,24 cm,98.8,85.6
Biology,In-state,10,right,23,90.4,91.8
Environmental Studies,Out,15,right,25,104.6,92.5
Business ,Yes,18,right,22cm,85lbs,78lbs
Economics with math minor,Out of state,19,right,20 cm,93.6,100.8
Finance ,Out of State,15,right,24,83,81
business,out_state,15,right,19,30.2,26.7
Microbiology,Out-of-state,15,right,18.5 cm,35.8,34.6
Agricultural busines,In state ,15,right,22,91.4,93.6
Earth Science - Geology,in-state,14,right,23,84,82
Nursing,in state ,15,right,13,26,29
Pre med ,In state ,18,right,13,60,52
Economics,In-state,19,right,21,38.8,32
Computer science,In-state,16,right,21.5,52.4,56
Business finance,Out of state,15,left,21 cm,74.2,82.4
Nursing,In-State,10,right,21,76,72
Construction Engineering Technology,Out of state,16,left,24cm,90,80
microbiology ,in-state,13,right,21.25,72.5,75.2
Accounting ,Out of state ,15,right,22.25,115,107
psychology ,in-state ,13,right,21.5,60,68
Business ,Out of state ,15,right,21 centimeters ,92,63
business management ,out of state,16,right,23,89.2,90.8
History ,In-State,19,right,23 cm,110.3,108.8
Business marketing,In state,15,right,21.5 cm,83.8,82.4
Earth Sciences Paleontology,Out-of-state,18,right,22,48.8,39.6
economics,in-state,19,right,21,38,35
animal_science,out_state,18,right,20.5,60.2,38.8
Nursing,In-state,15,right,19cm,24.3lbs,28.2lbs
Business Marketing,Out of state,15,right,20 cm,55.4,53.6
Business Management ,In_state ,16,right,6.5 in,18.2,19.6
computer_science,in_state,15,right,20,52.2,48.6
business_management,in_state,15,left,23,93,91
computer science,in-state,16,right,21.5,52.4,56
"Undeclared, trying to declare env. Studies this week ",Out of state,15,right,19.5 cm,85.6,74.1
business finance ,out-of-state,15,right,22.5,107,103.6
computer science,out_state,18,right,20,94,95.4
Business management ,out_state,15,right,22.5,114,108.4
computer science,in-state,15,right,21.5,73,60.2
Business Marketing,In state ?,15,right,25 cm,98.8,77
nursing,in_state,15,right,13,26,29
Business finance ,Out of state ,16,right,22.5 cm,98.4 lb,106.4 lb
kinesiology ,in_state ,18,right,13,60,52
Economics ,Out-of-state,15,right,18,56.4,56.2
business finance ,out_state,18,right,22,51.6,54.6
business marketing ,out of state ,18,right,9 1/4in,95.6,112.2
construction engineering technology  ,out-of-state,16,right,17,98.2,90
construction engineering technology,in state,16,right,23,96.4,75
business managment,Out of state,18,right,21,60,60
business finance ,out of state ,17,right,22,84.2,87
geology,in_state,14,right,23,84,82
finance,out of state,15,right,24,83,81
 Nursing ,In-state,16,left,18,50,60
business finance ,out of state,15,right,16,47.8,43
elementary education,in-state,18 credits,right,17cm,35.8,22.4
undeclared,In state,15,right,22 cm,63,55
kinesiology ,out_state,18,right,21,71.3,67.8
business management,in state,15,right,20,728,802
computer science,out-of-state residency ,16,left,18 cm,65.4,63.2
business management,out-of-state,15,right,23 cm,54.8 lbs,60.8 lbs
marketing ,out of state ,14,right,9in ,56.2,66.2
business_management ,in_state,fifteen,right,twenty_three,sixty_point_two,fifty_eight_point_four
nursing,in-state,10,right,21cm,110,101
nursing ,out of state,12,right,19cm,56.2,46.8
finance,in state,15,right,22 cm,68,54
computer_science ,in_state ,16,right,22,61,43.4
Accounting ,Out of state ,16,right,17 cm ,26,21
Business Finance ,Out of state ,15,right,21.5,77.8,77.8
Business Finance,Out of state,15,right,16.5 cm,32,27.4
Microbiology ,Out of state,16,right,18,57,80.2
Business Finance ,Out of state ,15,right,16,56,49
Business management ,Out of state,15,right,22,72.3,68.5
