Channel Name,Video URL,Video Title,Video Length (HH:MM:SS),Video Language,Content Category of the Video,Total No of Video Views,Total No of Video Likes,Total No of Comments,No of Channel Subscribers,Video Posted Date,Channel Created Date,Channel Genre,Location of the Content Creator,TotalViewsoftheChannel,Trustworthiness_Thumbnail,Trustworthiness_Video,Does the Video Require Subject Matter Expertise from an Expert ?,Creator_SME,Trustworthiness from Comments (Trustable or Not),Interns who cleaned data
Yash Mittra - YMGrad ,https://www.youtube.com/watch?v=Z3KKfGaGkbw,"Scoring 1500+ on the SAT in 1 month || Complete Plan, No Coaching Needed, Free Study Material",0:15:43,English,Entertainment,"70,036","3,800",152,"192,000",27-05-2021,17-01-2013,Lifestyle,Delhi,"16,484,506",9,9,Yes,Yes,Trustable,Ameya Nerkar
Rajshri,https://www.youtube.com/watch?v=jUsTkJtGpJg,Best Comedy Scene Of Mehmood | King Of Comedy | Ameeta | Helen | Chhote Nawab,0:10:24,Hindi,Entertainment,"10,119",133,3,"31,000,000",28-09-2022,24-03-2006,Entertainment,Maharashtra,"13,728,154,337",7,9,Yes ,Yes,Trustable,Ameya Nerkar
Rajshri,https://www.youtube.com/watch?v=4JvB9S8yQlA,Guddu Full Movie | Shahrukh Khan | Manisha Koirala | Romantic Movie,1:58:30,Hindi,Entertainment,"32,432",259,18,"31,000,000",18-09-2022,24-03-2006,Entertainment,Maharashtra,"13,728,154,337",7,9,Yes ,Yes,Trustable,Ameya Nerkar
Rajshri,https://www.youtube.com/watch?v=rerwio14Fes,"Uunchai - Official Trailer | Amitabh Bachchan, Anupam Kher, Boman Irani | Rajshri Movie",0:02:50,Hindi,Entertainment,"197,056","43,000","1,919","31,000,000",18-10-2022,24-03-2006,Entertainment,Maharashtra,"13,728,154,337",7,9,Yes ,Yes,Trustable,Ameya Nerkar
Rajshri,https://www.youtube.com/watch?v=MzZe0o_QkLw,Agar Chot Lagti Toh Pura Thobda Kharab Ho Jaata | Mehmood Comedy Scene | Aruna Irani | Kishore Kumar,0:11:52,Hindi,Entertainment,"38,105",204,25,"31,000,000",9/5/2022,24-03-2006,Entertainment,Maharashtra,"13,728,154,337",7,9,Yes ,Yes,Trustable,Ameya Nerkar
Rajshri,https://www.youtube.com/watch?v=ae4KGCFKCrM,Rani Mukerji Ki Superhit Movie | Faraaz Khan | Shakti Kapoor | Mehndi (1998),1:52:22,Hindi,Entertainment,"12,922",212,4,"31,000,000",11/10/2022,24-03-2006,Entertainment,Maharashtra,"13,728,154,337",7,9,Yes ,Yes,Trustable,Ameya Nerkar
T-Series ,https://www.youtube.com/watch?v=m_46_VnMZ4Y,"Jubin Nautiyal: Meri Mai (Audio) | Payal Dev, Manoj Muntashir, Lovesh Nagar | Hindi Song | Bhushan K",0:04:47,Hindi,Entertainment,"30,613","1,200",86,"227,000,000",20-09-2022,13-03-2006,Music,Maharashtra,"204,691,041,902",10,10,Yes,Yes,Trustable,Ameya Nerkar
T-Series ,https://www.youtube.com/watch?v=cxA2y9Tgl7o,Drishyam 2: OFFICIAL TRAILER | Ajay Devgn Akshaye Khanna Tabu Shriya Saran Abhishek Pathak Bhushan K,0:02:24,Hindi,Entertainment,"4,464,415","226,000","5,494","227,000,000",17-10-2022,13-03-2006,Music,Maharashtra,"204,691,041,902",10,10,Yes,Yes,Trustable,Ameya Nerkar
T-Series ,https://www.youtube.com/watch?v=rwfbmNbVTaw,"Vande Mataram: Code Name Tiranga | Parineeti C, Harrdy S | Shankar Mahadevan, Vipin Patwa, Kumaar",0:02:14,Hindi,Entertainment,"330,840","14,000",689,"227,000,000",14-10-2022,13-03-2006,Music,Maharashtra,"204,691,041,902",10,10,Yes,Yes,Trustable,Ameya Nerkar
T-Series ,https://www.youtube.com/watch?v=FnUwmOdDhtg,"Ki Kariye (Video): Harrdy Sandhu | Parineeti Chopra | Sakshi H, Jaidev K, Kumaar | Code Name Tiranga",0:02:06,Hindi,Entertainment,"6,687,688","119,000","4,534","227,000,000",6/10/2022,13-03-2006,Music,Maharashtra,"204,691,041,902",10,10,Yes,Yes,Trustable,Ameya Nerkar
